PK,Text
133,"[UPDATE] Changes to Discussion Schedule. Hi everyone! We will be observing the following changes to the discussion schedule. These changes are permanent, and will take effect starting tomorrow, Feb. 1. LOST Discussion will be at Wheeler 120 on Wednesdays, 5-7pm Lance's Discussion will be at Wurster 101 on Wednesdays, 12-1pm Wilson's Discussion will be at Wheeler 200 on Wednesdays, 5-6pm Exam Prep Discussion will be at Etcheverry 3119 on Wednesdays, 4-5pm Thank you for your patience!"
155,"EdStem Etiquette and Coding OH. Hi all, Thank you for all the productive questions you've been asking on EdStem so far. To ensure that we can continue answering as many questions as possible in a timely manner, please observe the following new rules about posting on EdStem. Please do not make private posts about homework questions asking us to debug your solution or determine whether or not your algorithm is correct, as the overhead on staff is incredibly high when many people do this. Instead, ask your homework questions in the relevant HW threads. If you have questions specific to your solution that you would like to double check, please visit one of our office hours for help. Starting HW3 (this Tuesday onwards), we will no longer answer debugging questions for coding question on Ed, with the exception of setup issues. Instead we will prioritize coding questions during the following OH: Monday 1-4pm Wednesday 4-6pm Thursday 10-11am and 5-6pm Friday 2-4pm During these OH we will have staff members dedicated to debugging help. During all other OH, you are free to work with other students on coding questions, and in fact, we encourage students to help each other debug during OH. However, staff will not prioritize answering coding questions during non-coding OH. Best, CS170 Staff"
176,"Local Setup for Coding Problems. First time setup Install Anaconda following the instructions here https://www.anaconda.com/products/distribution Create a conda environment: conda create -n cs170 python=3.8 Activate the environment: conda activate cs170 See for more details on creating conda environments https://conda.io/projects/conda/en/latest/user-guide/tasks/manage-environments.html Install pip: conda install pip Install jupyter: conda install jupyter When doing each HW cd into your HW directory. Install all requirements for that assignment: pip install -r requirements.txt (There wasn’t one for HW1) Open the jupyter notebook and do the assignment: jupyter notebook Although VScode also supports jupyter notebooks, staff is only acqua"
191,"Additional Discussion Sections. Due to popular demand, we have added 2 new discussion sections beginning this week. Allison's Discussion will be at Wheeler 200 on Tuesday 7:00-8:00pm Allison's Discussion will be at Cory 289 on Thursdays, 11:00am-12:00pm See you all in discussion!"
192,Additional Coding OH. We've added two more hours of Coding OH!! They are Thursdays 10-11am and 5-6pm in the Cory Courtyard as always. For details of coding OH please see #155.
276,"Midterm 1 Details. Hi everyone, The CS170 midterm is scheduled for 7 - 9pm on Monday, Feb 27th. We are starting the exam at Berkeley Time (7:10pm), but please come by 7pm sharp. You can find the the venue where you will be taking the exam based on your last name: Wheeler 0150: Aa - Li (inclusive on both sides) Pimentel 1: Lo - Vo (inclusive on both sides) Dwinelle 145: Wa - Zz (inclusive on both sides) The midterm will mainly consist of long answers with a mix of short and mechanical answers included. Everything up to and including Union Find (lecture on 2/20/2023) is in scope. EDIT: Everything up to and including MST (lecture on 2/24/2023) is in scope. This will be a paper & pen-based exam. You may bring a 1-page, double-sided cheat sheet. The cheat sheet must be handwritten, but you may choose to write on an electronic device, then print, or write on paper directly. No electronic devices are allowed in the exam. The exam booklet will be distributed starting 7:05PM for you to fill out the first page. Please do not open the booklet until we announce the start of the exam. The exam will start at 7:10PM sharp, and will end at 9PM. You should stop writing immediately as soon as time is up. Good luck with the midterm :)"
288,"Midterm 1 Review Sessions. Hi all, There will be two review sessions led by course staff for the upcoming midterm 1: Saturday, Feb 25th 12-2pm @ The Wozniak Lounge (Soda-430): Topics Asymptotics & Master Theorem Divide and Conquer Fast Fourier Transform DFS/SCC Slides: https://docs.google.com/presentation/d/1Zw7y23ETYYZM0w-R7eokbincAaA8iapokFu5C6x1NLY/edit?usp=sharing Zoom Link: https://berkeley.zoom.us/j/93453982594 Recording: here Sunday, Feb 26th 12-2pm @ The Wozniak Lounge (Soda-430): Topics Shortest Paths MST Greedy Slides: https://docs.google.com/presentation/d/152yVF3uPXl-ZGhCSfwWDXTxAygJFmg4q7C7PXp52GMU/edit?usp=sharing Zoom Link: https://berkeley.zoom.us/s/98469162511 Passcode: 078020 Recording: https://drive.google.com/file/d/1W3C5xEtBHRdslefkQxb7PTnns9gDgx3o/view?usp=sharing Both review sessions will also be broadcast and recorded via Zoom. Note however that review sessions are primarily designed as synchronous in person activities, so we will primarily focus on in person teaching rather than Zoom."
311,"Exam Scope Clarification. Hi all, Due to changes in the lecture schedule, the last topic in scope for the exam is actually Minimum Spanning Trees (MST's) being covered in lecture this Wednesday (2/22) and Friday (2/24). Since this weeks discussion won't cover MST's, we'll place extra emphasis on MST's during our review sessions."
324,"Midterm 1 room update. There was a mistake in the original Midterm 1 details post. We have changed Dwinelle 271 to Dwinelle 145, which is the actual room number."
330,Lance’s Discussion Cancelled. My Wednesday 12-1 discussion will be canceled starting from today onwards. The website and calendar will be updated shortly to reflect this change.
345,"Thursday 2/23 OH Location Change. Because of the cold weather, today's office hours will not be held in Cory Courtyard. Instead, we be in Cory 212 from 10am-1pm and Cory 529 from 1-6pm. Hope to see you there!"
359,"Friday 2/24 OH and HW Party Location Change. Due to the current weather, today's office hour and homework party will be moved to: 10-11  Cory 367 12-1    Cory 367 & Cory 529 1-3      Cory 529 3-5      Cory 367"
409,"OH Week of 2/27-3/3. [UPD 3/3/2023 12:54PM] The remaining office hours this week will return to Cory Courtyard. Hi all, Due to the weather this week, we will be holding office hours indoors. Please consult the following schedule for this week Monday 10-11am: Soda 411 Alcove 12-2pm: Soda 411 Alcove 2-4pm: Cory 367 Wednesday 10-11am: Cory 529 1-4pm: Cory 529 4-6pm: Cory 212 Thursday 10-1pm: Cory 212 1pm-6pm: Cory 529 Friday 10-11 Cory 367 12-5 Cory Courtyard. "
420,Temporary Website. https://berkeley-cs170.github.io/Website/ It should work...... Hopefully
433,"On Multiple Choice Questions on Exams. Just like CollegeBoard, we use automated ways to grade exams (but we don't charge you $60 for exams that were used last year), yet it is not until recently that I realised we did not have instructions on how bubbles are to be filled, and it is causing Gradescope some trouble. To make Gradescope happy, our guideline is similar to CollegeBoard's: In MT2 and final, please fill the bubble completely preferably with a pencil (a pen would work but you can't erase it) if such question appears again. If you want to choose A, do not do this: We will send out relevant reminders and update exam instructions again near MT2."
489,"[Free Points] Mid Semester Feedback. Three easy steps: 1. Please fill out mid-semester feedback at https://forms.gle/tPrvPqFxF4s1VZidA 2. Submit a screenshot of proof of submission in Gradescope ""Mid Semester Feedback"" assignment 3. You get 1 point post curve Deadline next Friday EOD so we can use the feedback for mt2! Thanks y'all"
535,"Midterm 2 Details. Hi everyone, The second CS170 midterm is scheduled for 7 - 9pm on Wednesday, April 5. We are starting the exam at Berkeley Time (7:10pm), but please come by 7pm sharp. You can find the the venue where you will be taking the exam based on your last name: Wheeler 0150: Aa - Li (inclusive on both sides) Pimentel 1: Lo - Vo (inclusive on both sides) Dwinelle 145: Wa - Zz (inclusive on both sides) The midterm will mainly consist of long answers with a mix of short and mechanical answers included. The scope of this midterm is everything from Dynamic Programming (lecture on 3/1) up to and including Multiplicative Weights Update (lecture on 3/24). This will be a paper & pencil-based exam. You may bring two 1-page, double-sided cheat sheets. The cheat sheets must be handwritten, but you may choose to write on an electronic device, then print, or write on paper directly. No electronic devices are allowed in the exam. The exam booklet will be distributed starting 7:05PM for you to fill out the first page. Please do not open the booklet until we announce the start of the exam. The exam will start at 7:10PM sharp, and will end at 9PM. You should stop writing immediately as soon as time is up. Good luck with the midterm :)"
541,"Midterm 2 Review Sessions. Hi all, There will be two review sessions led by course staff for the upcoming midterm 2: Thursday, March 23, 9:30am-11:30am @ The Wozniak Lounge (Soda-430): THIS SESSION IS IN THE MORNING! Topics: DP, Multiplicative Weights Update Slides: https://docs.google.com/presentation/d/1TDYFj9Jthabs5JAM67vGb_tXjrtx-Y3sas48rWwr5EY/edit?usp=sharing Zoom Link: https://berkeley.zoom.us/j/5552895213?pwd=c2ZvSE5ONkcva3BhYmZKVFRTOUdvQT09 Recording: https://drive.google.com/file/d/1jEARMAYu1p5Y0N5_3gtdEplaRIgogzju/view?usp=sharing Friday, March 24th 8-10pm @ The Wozniak Lounge (Soda-430): Topics: Linear Programming, Max Flow, Zero Sum Game Slides: https://docs.google.com/presentation/d/1V6ioxXRmvhiUsEeuFxuWJJ-YaL4Yv10XXrNuNTbK3kQ/edit?usp=sharing Zoom Link: https://berkeley.zoom.us/j/3759644356 Recording: https://drive.google.com/file/d/13NKxNILqP4w9X7XJ7qmk3HDYTTSQbPDD/view?usp=sharing Both review sessions will also be broadcast and recorded via Zoom just like MT1 review sessions. P.S. sorry for inconvenient timing of these review sessions. Unfortunately, room bookings right before spring break are very sparse, but we wanted to give everyone these study materials before break."
572,"Homework 8 Deadline Extended Due to Weather. Hi all, We are extending the Homework 8 Deadline by one day due to the severe weather and blackouts today. Homework 8 is now due on Wednesday (3/22) at 10:00 pm, with a grace period until 11:59 pm. Please stay safe!. "
642,"Midterm 2 Reminders + Discussion Schedule. Hi all, Friendly reminder that Midterm 2 is this Wednesday, April 5 from 7-9pm. logistics post: https://edstem.org/us/courses/35698/discussion/2801707 review sessions: https://edstem.org/us/courses/35698/discussion/2803867 Please bring your own pencils, erasers, and any spares . We cannot guarantee spare pencils in case your's breaks. The administration of Midterm 2 is mostly the same as Midterm 1. The main difference is that we will distribute 2 booklets during the exam: 1) question booklet 2) answer booklet. The question booklet will have sufficient space to do any scratch work you need; however, your final answer must be written in the answer booklet. Discussion Sections: Since staff is preparing for the midterm on Wednesday, most discussion sections this week will be cancelled or turned into exam prep this week. Please observe the following schedule. Tuesday 2-3pm - Parth Asawa - Exam Review Tuesday 5-6pm - Ajit Kadaveru - Cancelled Tuesday 5-6pm - Juanky Perdomo Normal Content Tuesday 7-8pm - Allison Li - Exam Review Tuesday 7-8:30pm - Ramanan Abeyakaran and Lance Mathias - Cancelled Wednesday 9-10am - Ajit Kadaveru - Cancelled Wednesday 12-1pm - Zoë Bell - Cancelled Wednesday 3-4pm - Jonny Pei - Cancelled Wednesday 4-5pm - James DeLoye - Cancelled Wednesday 4-5pm - Ramanan Abeyakaran and Ruomu Xu - Cancelled Wednesday 5-6pm - Wilson Wu - Cancelled Wednesday 5-7 pm - Conner Manuel and Viraj Ramakrishnan - Cancelled Thursday 9-10am - Juanky Perdomo - Normal Content Thursday 11-12pm - Allison Li - Normal Content"
653,"Religious Accommodations for Midterm 2. Hi all! It has come to our attention that the timing of the second midterm conflicts with Ramadan and Passover Seder, which are religious holidays covered by Berkeley’s religious creed policy. Due to this, for those who are observing either of these holidays, we are offering an alternate exam time on the following morning, Thursday (4/6) at 9:00 a.m. If you are in this situation and wish to take the exam at this alternate time, please contact cs170@berkeley.edu by Wednesday (4/5) at 6:00 p.m. to indicate that you will be taking this religious accommodation and get further details. Apologies for the relatively short notice!"
709,"Midterm 2 Grades Released. Hi all, We have released your midterm 2 grades. Distribution (updated May 14th, after regrades): Solutions: https://drive.google.com/file/d/1tsMNI--WQtxVUwz13753K5Kyi_hsW0Jg/view?usp=sharing Common Mistakes: https://docs.google.com/document/d/1TcEseUuO1ry_x6h23zh0MpoAIfZ96QSiGTJg8HbCW24/edit?usp=sharing Regrades: Regrades will open on Friday, April 14th and close on Friday, April 21 at 11:59pm. No late regrades will be accepted. All regrade requests will be resolved within 1 week after the deadline. You should submit a regrade request only after you have read the solutions and the rubric, and determined that we misgraded your solution with respect to the rubric. We will not accept regrades that contest the rubric or argue for more points without citing the rubric. Post any alternate solutions below along with a proof of correctness. Regrades must follow the following format or they will not be considered: ""I think I should get <+ x points> for rubric item <quote rubric item text>. <quote lines from your solution which are relevant>. <explain any misinterpretation if needed>."" (please don't include any other information) Please do not post on EdStem to ask if you should submit a regrade request unless you have an alternate solution that the rubric doesn't consider. Make the request if you think you should've got more points and we'll take a look at it. Followups that ask questions that this post already answers, excessive +1's or ask questions that should be directed to regrades (i.e. questions containing ""should I make a regrade request about ..."") will be deleted to reduce clutter so that staff can find questions that require responses with more ease (a common response on the mid-semester survey is that there are too many followups that can be avoided by reading posts more carefully). That being said, feel free to ask questions or make jokes. FAQ (will keep updating this section): - Make a private post if you have an issue with your exam (eg, missing exam). Do not make a followup about this. - Details about the curve/passing cutoffs will not be finalized until after the final exam. Using individual assignment distributions along with Berkeleytime distributions can help you estimate your grade. Good job everyone - the material gets even cooler from this point on and we're excited for you to learn more about it! Please don't be demotivated by low raw scores as the class is curved."
766,"HW 11 Deadline Extended till Wednesday. Hi all, Due to the abnormally high number of non-content related issues that students are experiencing with this homework, we've decided to extend the deadline to Wednesday, April 19 10:00pm (with grace period till 11:59pm). Hopefully this gives sufficient time to iron out any issues."
785,"Midterm 2 Cover Page Remedy. Hi all, To remedy the typo on Midterm 2's cover page, we have settled on the following scheme for computing final grades. How final grades are normally computed: For each student, we first compute their final raw score by summing the scores of individual assignments/exams weighed by the weighting in the syllabus. Next we assign grades based on the final raw score following departmental guidelines and historical CS170 curves and performance. How final grades are computed this semester: We will compute two separate curves. Curve 1 is the standard curve described above. Curve 2 is computed with the following weighting: Homework: 15 MT1: 25 MT2:17 Final: 43 Your grade will then be the best grade out of both curves. These two curves are established independently from one another; therefore, no one's final grade will be penalized by the existence of the second curve. Your grade can only improve under this scheme."
804,"Homework 12 Update: Removed Q5. Hi all, Happy Friday! Due to y'all not having covered randomized algorithms in any form, we have removed Question 5 (Polynomial Identity Testing) from the homework. We apologize for any inconvenience this may cause, though on the bright side there's only 4 questions on HW12 now :) ~ CS 170 Course Staff."
